,Skill,Skill Type
0,Python,Programming Language
1,GitHub,Other tools
2,React,Frameworks and Libraries
3,SQL,Programming Language
4,R,Programming Language
5,Tableau,Other tools
6,Power BI,Other tools
7,Excel,Other tools
8,SAS,Other tools
9,Looker,Other tools
10,Google Analytics,Other tools
11,Parcel,Frameworks and Libraries
12,Realm,Database
13,AWS,Cloud Service Providers
14,PowerPoint,Other tools
15,Jira,Other tools
16,Confluence,Other tools
17,Bigquery,Cloud Service Providers
18,Azure,Cloud Service Providers
19,Git,Other tools
20,Airflow,Frameworks and Libraries
21,Docker,Other tools
22,Java,Programming Language
23,C++,Programming Language
24,Scala,Programming Language
25,MySQL,Database
26,Redshift,Cloud Service Providers
27,Salesforce,Cloud Service Providers
28,Oracle,Database
29,Hadoop,Frameworks and Libraries
30,QlikView,Database
31,Teradata,Database
32,Cocoa,Frameworks and Libraries
33,Spark,Frameworks and Libraries
34,Office Suite,Other tools
35,sap,Other tools
36,Jupyter Notebook,Frameworks and Libraries
37,Snowflake,Database
38,Box,Other tools
39,PySpark,Frameworks and Libraries
40,Adobe Analytics,Other tools
41,Sentry,Cloud Service Providers
42,Metabase,Database
43,Figma,Other tools
44,DataStage,Other tools
45,SSIS,Other tools
46,Firebase,Cloud Service Providers
47,Alibaba Cloud,Cloud Service Providers
48,Apache Superset,Other tools
49,Databricks,Cloud Service Providers
50,HTML,Programming Language
51,SQL Server,Database
52,spotfire,Other tools
53,Shopify,Cloud Service Providers
54,Airtable,Cloud Service Providers
55,MSSQL,Database
56,Zapier,Cloud Service Providers
57,Visio,Other tools
58,Bash,Programming Language
59,Perl,Programming Language
60,JavaScript,Programming Language
61,PHP,Programming Language
62,Slack,Cloud Service Providers
63,HubSpot,Other tools
64,Cassandra,Database
65,GCP,Cloud Service Providers
66,Keras,Frameworks and Libraries
67,Pandas,Frameworks and Libraries
68,Tensorflow,Frameworks and Libraries
69,Kubernetes,Other tools
70,Fly,Frameworks and Libraries
71,CSS,Programming Language
72,Sanity,Frameworks and Libraries
73,Jenkins,Frameworks and Libraries
74,Selenium,Frameworks and Libraries
75,Qlik Sense,Database
76,Notion,Other tools
77,Cobol,Programming Language
78,Swift,Programming Language
79,Kafka,Frameworks and Libraries
80,PostgreSQL,Database
81,SharePoint,Other tools
82,C#,Programming Language
